file_id,lap_number,start_time,duration_seconds,distance_meters,calories,max_speed_ms,avg_cadence,intensity,trigger_method
RMeaT3Ni6Lxm,1,2023-12-10T15:15:36Z,2700.989,7288.945988947527,413,3.532161390438239,152.8266310868776,"
      Active
","
      Manual
"
rTg-RIgHCF05,1,2024-11-02T13:16:16Z,1200.028,2844.1169582564908,151,2.7054379172845264,141.12318636014544,"
      Active
","
      Manual
"
RwVMLByMPHiD,1,2025-04-06T12:52:08Z,411.37,1005.888126343722,56,2.708768165541815,144.95721529080316,"
      Active
","
      Manual
"
s-IXbz8K-649,1,2024-08-04T13:39:23Z,1500.978,3971.1428665292874,224,3.038643922254562,146.94762037472847,"
      Active
","
      Manual
"
SEkYLMKzgCOQ,1,2024-10-31T09:52:33Z,1244.086,3006.2166620535413,169,2.779470917639262,142.91620105944182,"
      Active
","
      Manual
"
shg78A0gI01d,1,2023-10-29T12:42:37Z,3043.573,8052.471820195903,455,3.558961714368335,155.0449345125907,"
      Active
","
      Manual
"
t84BKwPt-zaX,1,2023-10-06T11:27:07Z,1500.013,3832.245929999511,215,3.6015406697236023,160.08296515798978,"
      Active
","
      Manual
"
tAVsgXwa12dn,1,2023-05-05T12:16:24Z,2100.013,4514.739133196184,239,3.3665409797280703,154.91117818098442,"
      Active
","
      Manual
"
tbaj-TmPDbfD,1,2023-09-16T16:17:12Z,2100.036,4971.47945432388,272,3.2240167919588254,155.9280054706066,"
      Active
","
      Manual
"
TlzTPPIQauev,1,2023-12-14T01:36:33Z,701.287,0,0,NA,NA,"
      Active
","
      Manual
"
twqQxj342aCx,1,2023-07-14T22:59:39Z,900.015,2139.8837845500093,118,2.5386829994972575,153.7420200187596,"
      Active
","
      Manual
"
Tz_e30xf3NmU,1,2023-01-30T14:58:23Z,1205.631,2157.573964920594,114,3.612573929554315,127.92705012198888,"
      Active
","
      Manual
"
u5w1nRUPPjE0,1,2023-09-29T11:39:19Z,720.979,2073.4597241464076,118,3.5609761085278837,157.82909311103137,"
      Active
","
      Manual
"
Un4uj0raCJYd,1,2025-03-13T19:14:56Z,144.555,369.25746832194267,20,2.864176252226219,139.62892143681364,"
      Active
","
      Manual
"
upexovAuOJrV,1,2024-09-25T22:18:52Z,900.038,2065.7305137335215,115,2.6358422255859373,141.75753327657486,"
      Active
","
      Manual
"
uQiKsroojNJK,1,2024-09-26T11:01:13Z,38.817,43.001758533333486,8,1.364837614674696,110.10763125419616,"
      Active
","
      Manual
"
uTp6HxtTfBIr,1,2023-09-22T11:16:38Z,381.008,0,0,NA,NA,"
      Active
","
      Manual
"
UVhh55LXso1u,1,2023-06-02T22:33:03Z,660.175,1585.911765097174,93,3.6218541596890863,150.6744656874209,"
      Active
","
      Manual
"
uxlBefN2wrKY,1,2025-05-01T12:16:47Z,1145.573,3004.1372140599397,172,2.8193636300038194,147.97836686035978,"
      Active
","
      Manual
"
UzeahXIw4HTe,1,2024-09-30T10:03:00Z,1922.308,5006.880495634916,284,2.8963590769440972,149.5711410791674,"
      Active
","
      Manual
"
V15DGFUqvhoF,1,2023-10-16T10:40:30Z,2544.583,6444.6255794719345,361,3.3246156296554115,160.4711373358935,"
      Active
","
      Manual
"
V5ixOc5qOwZw,1,2025-06-30T12:36:04Z,810.945,1943.2015164187196,117,2.656527977903682,145.33613279956882,"
      Active
","
      Manual
"
V9Y2iHdIVZ5t,1,2023-05-17T12:42:30Z,1021.471,2384.30577098462,132,3.7407116231890343,153.1218392347678,"
      Active
","
      Manual
"
VevdfKC70pVY,1,2023-10-03T10:49:18Z,901.002,2342.099652821197,131,3.2745567060672016,156.90221195411138,"
      Active
","
      Manual
"
Vg5Y5pRW3aCu,1,2022-11-10T01:38:22Z,809.992,2118.4567215651045,129,3.2080417038140054,139.31600819801798,"
      Active
","
      Manual
"
vi5sq9AF0fRD,1,2023-05-01T12:47:25Z,300.007,690.8431745968993,37,2.9877335932501037,144.87045040212828,"
      Active
","
      Manual
"
VujHUGEOWtlr,1,2023-05-24T22:35:41Z,300.009,741.888217901578,41,3.055656552869684,156.6189274294623,"
      Active
","
      Manual
"
w-R9yzTwA1mS,1,2023-05-26T22:54:29Z,900.021,2242.3693560888064,133,4.233580142043034,145.43374851092565,"
      Active
","
      Manual
"
wAbDi_-bKl_i,1,2024-10-21T21:42:19Z,60.005,102.5232436826336,4,2.25192463630666,132.6878117393045,"
      Active
","
      Manual
"
WM5L7vNtMBdo,1,2023-11-26T15:37:43Z,1800.214,4670.7397567641465,0,2.5945469576195648,NA,"
      Active
","
      Manual
"
wMCk3Q75MB1n,1,2024-11-06T10:50:10Z,1001.246,2268.606651074255,124,2.7483701085868626,139.11627062941736,"
      Active
    ","
      Manual
    "
WRvoBdLT08-V,1,2024-01-02T22:00:18Z,1800.046,4374.3090520717715,0,2.430109592794724,NA,"
      Active
    ","
      Manual
    "
xB3XsILb9iq4,1,2023-10-11T10:52:43Z,900.882,2379.6305116682797,134,3.5920477849434023,156.53998188823036,"
      Active
    ","
      Manual
    "
xCObuqmeppja,1,2024-07-16T10:02:22Z,555.993,1391.4891787885133,78,2.9438246731736473,142.972380727251,"
      Active
    ","
      Manual
    "
xfPG0Ytwj4Sr,1,2025-03-10T15:26:07Z,2506.841,5924.455664741571,327,5.403082180187291,147.6615656577282,"
      Active
    ","
      Manual
    "
Xjq8iqRhVhAA,1,2023-05-12T12:32:53Z,1500.013,3236.2772042201855,172,2.8943161571903895,154.3950111764109,"
      Active
    ","
      Manual
    "
