file_id,activity_id,sport,start_time,total_duration_seconds,total_distance_meters,total_calories,max_speed_ms,notes,file_path
VujHUGEOWtlr,"
      2023-05-24T22:35:41.769Z
",Running,NA,300.009,741.888217901578,41,3.055656552869684,NA,/cloud/project/running_data//VujHUGEOWtlr.xml
w-R9yzTwA1mS,"
      2023-05-26T22:54:29.667Z
",Running,NA,900.021,2242.3693560888064,133,4.233580142043034,NA,/cloud/project/running_data//w-R9yzTwA1mS.xml
wAbDi_-bKl_i,"
      2024-10-21T21:42:19.703Z
",Running,NA,60.005,102.5232436826336,4,2.25192463630666,NA,/cloud/project/running_data//wAbDi_-bKl_i.xml
WM5L7vNtMBdo,"
      2023-11-26T15:37:43.650Z
",Running,NA,1800.214,4670.7397567641465,0,2.5945469576195648,NA,/cloud/project/running_data//WM5L7vNtMBdo.xml
wMCk3Q75MB1n,"
      2024-11-06T10:50:10.208Z
    ",Running,NA,1001.246,2268.606651074255,124,2.7483701085868626,NA,/cloud/project/running_data//wMCk3Q75MB1n.xml
WRvoBdLT08-V,"
      2024-01-02T22:00:18.555Z
    ",Running,NA,1800.046,4374.3090520717715,0,2.430109592794724,NA,/cloud/project/running_data//WRvoBdLT08-V.xml
xB3XsILb9iq4,"
      2023-10-11T10:52:43.970Z
    ",Running,NA,900.882,2379.6305116682797,134,3.5920477849434023,NA,/cloud/project/running_data//xB3XsILb9iq4.xml
xCObuqmeppja,"
      2024-07-16T10:02:22.508Z
    ",Running,NA,555.993,1391.4891787885133,78,2.9438246731736473,NA,/cloud/project/running_data//xCObuqmeppja.xml
xfPG0Ytwj4Sr,"
      2025-03-10T15:26:07.733Z
    ",Running,NA,2506.841,5924.455664741571,327,5.403082180187291,NA,/cloud/project/running_data//xfPG0Ytwj4Sr.xml
Xjq8iqRhVhAA,"
      2023-05-12T12:32:53.601Z
    ",Running,NA,1500.013,3236.2772042201855,172,2.8943161571903895,NA,/cloud/project/running_data//Xjq8iqRhVhAA.xml
xsfm3OU3ahcq,"
      2023-10-21T13:51:05.983Z
    ",Running,NA,900.004,2394.5390824344927,135,3.3894768544213454,NA,/cloud/project/running_data//xsfm3OU3ahcq.xml
xttUlqf-D8pD,"
      2024-07-31T10:48:22.840Z
    ",Running,NA,2005.824,5245.683106068643,285,3.577521161398925,NA,/cloud/project/running_data//xttUlqf-D8pD.xml
XVrFXA69w6Pg,"
      2025-02-19T17:14:50.858Z
    ",Running,NA,810.497,1814.538523412075,167,2.725972688169151,NA,/cloud/project/running_data//XVrFXA69w6Pg.xml
y88iLEyWf_vY,"
      2024-11-03T15:21:16.986Z
    ",Running,NA,809.994,2040.2468667602545,169,3.610280203970146,NA,/cloud/project/running_data//y88iLEyWf_vY.xml
yh1ymE0ljxJU,"
      2023-10-18T11:57:28.863Z
    ",Running,NA,1110.014,3497.3016994113586,211,4.1466553751911475,NA,/cloud/project/running_data//yh1ymE0ljxJU.xml
YLVX0MHQ0Hfq,"
      2025-04-02T17:48:17.573Z
    ",Running,NA,2127.257,5421.6749886696925,304,3.9482827299898666,NA,/cloud/project/running_data//YLVX0MHQ0Hfq.xml
YOMFKmQPQlXP,"
      2023-11-02T10:36:18.332Z
    ",Running,NA,1379.998,4412.283741485098,270,5.219409242401202,NA,/cloud/project/running_data//YOMFKmQPQlXP.xml
YOWUDG_mhezO,"
      2024-10-02T10:31:30.996Z
    ",Running,NA,1560.974,3982.32277246029,225,4.847465690968961,NA,/cloud/project/running_data//YOWUDG_mhezO.xml
Z0P9QoFGcOlr,"
      2023-09-10T13:22:05.371Z
    ",Running,NA,1205.015,2841.4157623436795,155,2.881930065745892,NA,/cloud/project/running_data//Z0P9QoFGcOlr.xml
Z1pDHM_B_4gR,"
      2024-07-18T12:35:22.598Z
    ",Running,NA,1399.416,3669.1550987072424,207,3.8715179723297193,NA,/cloud/project/running_data//Z1pDHM_B_4gR.xml
Z2UNBjKY6Irv,"
      2023-06-26T22:47:56.460Z
    ",Running,NA,720.014,1794.2261122427897,100,2.6741679931275857,NA,/cloud/project/running_data//Z2UNBjKY6Irv.xml
ZGVqmuRc2uPO,"
      2024-05-03T12:44:35.429Z
    ",Running,NA,21.368,23.57323167147115,1,1.1884102678058575,NA,/cloud/project/running_data//ZGVqmuRc2uPO.xml
zYgc4lG8Tzni,"
      2023-11-10T11:54:41.043Z
    ",Running,NA,1919.666,5315.640291403047,312,5.5948707538546145,NA,/cloud/project/running_data//zYgc4lG8Tzni.xml
zYRCmfm9Rv_p,"
      2023-12-19T11:47:25.185Z
    ",Running,NA,1800.996,4965.033659930109,282,3.744638977435168,NA,/cloud/project/running_data//zYRCmfm9Rv_p.xml
zzO4ESXIQr90,"
      2025-01-22T11:07:03.743Z
    ",Running,NA,810.991,1902.956096485026,111,3.0547499313306075,NA,/cloud/project/running_data//zzO4ESXIQr90.xml
